n,k,time,test
10^9,128,36.7188,8
10^9,128,36.75,9
10^9,256,36.7969,0
10^9,256,36.7031,1
10^9,256,36.5625,2
10^9,256,36.7969,3
10^9,256,36.7969,4
10^9,256,36.7031,5
10^9,256,36.5312,6
10^9,256,36.7344,7
10^9,256,37.7969,8
10^9,256,37.1094,9
